text,label
"fever and cough with sore throat","Flu"
"high fever and dry cough and loss of smell","COVID-19"
"chest pain and shortness of breath","Acute Coronary Syndrome"
"mild headache and fatigue","Tension Headache"
"severe headache with light sensitivity","Migraine"
"loose motions and stomach cramps","Gastroenteritis"
"burning urination and lower abdominal pain","Urinary Tract Infection"
"runny nose sneezing and mild cough","Common Cold"
"wheezing and chest tightness","Asthma"
"joint pain and morning stiffness","Rheumatoid Arthritis"
